Institution: Title,Institution: Role,Institution: Origin,Institution: Type,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Inscription: ID,Institution: Notes,Inscription: Notes
Areopagus,,Athens,Public,271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,84,7,68,43,56,151,203,164,274,104,2289,2083,519,438,4,5,1,1,1,1,0,271,271,,
Areopagus,Sponsor,Athens,Public,295,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,84,7,68,43,56,151,203,164,274,104,198,149,50,36,3,1,1,3,1,1,0,295,295,,
Areopagus,Sponsor,Athens,Public,312,Statue Base for Dionysios Son of Dionysios,Stele,Dedication,,50.0,300,0.0270,84,7,68,43,56,151,203,164,274,104,54,34,15,10,1,0,1,1,1,1,0,312,312,,
Areopagus,Sponsor,Athens,Public,323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,84,7,68,43,56,151,203,164,274,104,126,125,30,30,3,1,1,3,1,1,0,323,323,,
Areopagus,Sponsor,Athens,Public,324,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,84,7,68,43,56,151,203,164,274,104,158,67,53,25,4,1,1,4,1,1,0,324,324,,
Areopagus,Sponsor,Athens,Public,327,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,84,7,68,43,56,151,203,164,274,104,59,57,15,14,2,0,1,2,1,1,0,327,327,,
Areopagus,Sponsor,Athens,Public,334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,225,129,52,29,3,2,3,3,1,2,1,334,334,,
Areopagus,Sponsor,Athens,Public,335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,247,21,62,13,3,2,5,3,1,3,2,335,335,,
Areopagus,Sponsor,Athens,Public,340,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0230,84,7,68,43,56,151,203,164,274,104,51,6,21,6,3,0,0,3,0,0,0,340,340,,
Areopagus,Sponsor,Athens,Public,345,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,84,7,68,43,56,151,203,164,274,104,100,97,24,22,3,0,1,3,1,0,1,345,345,,
Areopagus,Sponsor,Athens,Public,348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,84,7,68,43,56,151,203,164,274,104,123,32,34,12,3,1,2,3,1,2,0,348,348,,
Areopagus,Sponsor,Athens,Public,349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,84,7,68,43,56,151,203,164,274,104,160,112,38,21,3,1,2,3,1,2,0,349,349,,
Areopagus,Sponsor,Athens,Public,351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,84,7,68,43,56,151,203,164,274,104,145,130,48,35,3,1,2,3,1,2,0,351,351,,
Areopagus,Sponsor,Athens,Public,352,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,84,7,68,43,56,151,203,164,274,104,99,76,27,20,3,0,1,3,1,0,1,352,352,,
Areopagus,Sponsor,Athens,Public,353,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,84,7,68,43,56,151,203,164,274,104,125,59,46,21,3,0,1,3,1,0,1,353,353,,
Areopagus,,Athens,Public,360,Contract Concerning Iulius Nikanor,Building or Monument,Other/Uncertain,,60.0,20,0.0130,84,7,68,43,56,151,203,164,274,104,1224,437,336,131,2,0,1,0,0,0,0,360,360,,
Areopagus,Sponsor,Athens,Public,362,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,84,7,68,43,56,151,203,164,274,104,103,73,28,20,3,0,1,3,1,0,0,362,362,,
Areopagus,Sponsor,Athens,Public,372,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0280,84,7,68,43,56,151,203,164,274,104,104,74,29,18,1,1,1,1,0,1,0,372,372,,
Areopagus,,Athens,Public,377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,84,7,68,43,56,151,203,164,274,104,173,121,41,30,1,1,3,1,1,3,0,377,377,,
Areopagus,Sponsor,Athens,Public,378,Statue Base for Eraton Eratonos Besaieus,Base,Dedication,,50.5,99,0.0280,84,7,68,43,56,151,203,164,274,104,75,60,23,18,2,0,1,2,1,1,0,378,378,,
Areopagus,Sponsor,Athens,Public,383,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,84,7,68,43,56,151,203,164,274,104,56,32,21,10,3,0,1,3,1,1,0,383,383,,
Areopagus,Sponsor,Athens,Public,389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,84,7,68,43,56,151,203,164,274,104,171,46,55,14,3,0,3,3,1,3,0,389,389,,
Areopagus,Sponsor,Athens,Public,402,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,84,7,68,43,56,151,203,164,274,104,55,14,23,10,3,0,1,3,1,0,0,402,402,,
Areopagus,Sponsor,Athens,Public,410,Statue Base(?) For Unknown,Base,Dedication,,150.5,299,0.0680,84,7,68,43,56,151,203,164,274,104,39,6,17,8,2,0,0,2,0,0,0,410,410,,
Areopagus,Sponsor,Athens,Public,414,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,150.5,299,0.0250,84,7,68,43,56,151,203,164,274,104,46,17,14,7,3,1,0,3,0,0,0,414,414,,
Areopagus,Sponsor,Athens,Public,427,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,150.5,299,0.0290,84,7,68,43,56,151,203,164,274,104,32,9,14,5,2,0,0,2,0,0,0,427,427,,
Areopagus,Sponsor,Athens,Public,439,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,84,7,68,43,56,151,203,164,274,104,161,133,42,29,1,1,1,1,1,0,1,439,439,,
Areopagus,Sponsor,Athens,Public,440,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,84,7,68,43,56,151,203,164,274,104,83,48,33,18,3,1,2,3,1,2,0,440,440,,
Areopagus,Sponsor,Athens,Public,441,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,84,7,68,43,56,151,203,164,274,104,201,140,72,35,2,2,2,2,1,2,0,441,441,,
Areopagus,,Athens,Public,445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,84,7,68,43,56,151,203,164,274,104,115,29,30,12,1,2,2,1,1,2,0,445,445,,
Areopagus,Sponsor,Athens,Public,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,378,101,124,31,4,6,3,3,3,3,0,455,455,,
Areopagus,,Athens,Public,463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,84,7,68,43,56,151,203,164,274,104,675,471,153,90,2,23,4,0,1,4,0,463,463,,
Areopagus,Officer,Athens,Public,472,Statue Base for an Unknown Member of the Klaudii of Melite,Base,Dedication,,175.0,50,0.0250,84,7,68,43,56,151,203,164,274,104,66,8,19,7,1,2,2,0,1,2,0,472,472,,
Areopagus,Sponsor,Athens,Public,483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,84,7,68,43,56,151,203,164,274,104,1196,996,273,202,4,12,9,3,1,8,1,483,483,,
Areopagus,Sponsor,Athens,Public,487,Statue Base for T. Fl. Euthykomas Paianieus,Altar,Dedication,,166.0,10,0.0270,84,7,68,43,56,151,203,164,274,104,247,169,83,48,1,3,6,1,1,6,0,487,487,,
Areopagus,Sponsor,Athens,Public,488,Statue Base for T. Fl. Menandros Paianieus,Stele,Dedication,South Wall,166.0,10,0.0370,84,7,68,43,56,151,203,164,274,104,136,132,32,29,1,0,3,2,1,3,0,488,488,,
Areopagus,Sponsor,Athens,Public,490,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,84,7,68,43,56,151,203,164,274,104,187,150,45,31,2,1,4,2,1,4,0,490,490,,
Areopagus,Sponsor,Athens,Public,492,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,84,7,68,43,56,151,203,164,274,104,255,244,51,47,4,6,5,3,1,5,0,492,492,,
Areopagus,Sponsor,Athens,Public,493,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,84,7,68,43,56,151,203,164,274,104,371,176,113,56,1,5,5,3,1,5,0,493,493,,
Areopagus,Sponsor,Athens,Public,503,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,84,7,68,43,56,151,203,164,274,104,512,438,101,84,4,6,5,3,1,1,4,503,503,,
Areopagus,Sponsor,Athens,Public,519,Statue Base for the Empress Iul. Domna,Base,Dedication,,196.5,3,,84,7,68,43,56,151,203,164,274,104,118,110,20,18,3,0,1,3,0,0,1,519,519,,
Areopagus,Sponsor,Athens,Public,522,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,84,7,68,43,56,151,203,164,274,104,169,160,40,33,2,1,2,2,1,2,0,522,522,,
Areopagus,Sponsor,Athens,Public,528,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,0.0200,84,7,68,43,56,151,203,164,274,104,64,53,21,15,1,0,1,1,1,1,0,528,528,,
Areopagus,Sponsor,Athens,Public,529,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,84,7,68,43,56,151,203,164,274,104,64,47,16,11,1,0,1,1,1,1,0,529,529,,
Areopagus,Sponsor,Athens,Public,539,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0300,84,7,68,43,56,151,203,164,274,104,73,28,27,11,3,1,0,3,0,0,0,539,539,,
Areopagus,Officer,Athens,Public,542,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,99,0.0340,84,7,68,43,56,151,203,164,274,104,57,9,22,9,1,2,0,0,0,0,0,542,542,,
Areopagus,Officer,Athens,Public,543,Statue Base for an Unknown Klaudios,Base,Dedication,,150.5,99,0.0260,84,7,68,43,56,151,203,164,274,104,67,22,24,11,1,3,1,0,1,1,0,543,543,,
Areopagus,Officer,Athens,Public,544,Statue Base for an Unknown Exegete,Base,Dedication,,150.5,99,0.0345,84,7,68,43,56,151,203,164,274,104,64,8,17,7,2,2,1,0,1,1,0,544,544,,
Areopagus,Sponsor,Athens,Public,558,Statue Base for an Unknown Son or Daughter of a Nummios,Building or Monument,Dedication,,150.5,99,0.0205,84,7,68,43,56,151,203,164,274,104,67,9,26,7,3,0,1,3,1,1,0,558,558,,
Areopagus,Sponsor,Athens,Public,570,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0210,84,7,68,43,56,151,203,164,274,104,22,10,10,8,3,0,0,3,0,0,0,570,570,,
Areopagus,Sponsor,Athens,Public,571,Statue Base for an Unknown Individual,Stele,Dedication,,150.5,99,0.0400,84,7,68,43,56,151,203,164,274,104,44,26,22,12,3,0,0,3,0,0,0,571,571,,
Areopagus,Sponsor,Athens,Public,572,Statue Base(?) for an Unknown Individual,Column/Herm,Dedication,,150.5,99,0.0340,84,7,68,43,56,151,203,164,274,104,28,5,16,5,2,0,0,2,0,0,0,572,572,,
Areopagus,Sponsor,Athens,Public,573,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0200,84,7,68,43,56,151,203,164,274,104,51,38,22,16,3,0,0,3,0,0,0,573,573,,
Areopagus,Sponsor,Athens,Public,574,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0270,84,7,68,43,56,151,203,164,274,104,43,11,11,5,1,0,0,1,0,0,0,574,574,,
Areopagus,Sponsor,Athens,Public,576,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0250,84,7,68,43,56,151,203,164,274,104,20,4,9,4,1,0,0,1,0,0,0,576,576,,
Areopagus,Sponsor,Athens,Public,579,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0285,84,7,68,43,56,151,203,164,274,104,29,9,13,6,1,0,0,1,0,0,0,579,579,,
Areopagus,Sponsor,Athens,Public,587,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,84,7,68,43,56,151,203,164,274,104,191,168,47,38,1,1,5,2,1,5,0,587,587,,
Areopagus,Sponsor,Athens,Public,588,"Statue Base for Sabeiniane Hamillo, Priestess of Athena Polias, Probably Not from the Sanctuary",Other/Fragment,Dedication,,250.5,99,0.0240,84,7,68,43,56,151,203,164,274,104,168,164,38,36,4,1,1,4,1,1,0,588,588,,
Areopagus,Officer,Athens,Public,596,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0265,84,7,68,43,56,151,203,164,274,104,50,11,16,6,1,2,0,0,0,0,0,596,596,,
Areopagus,Sponsor,Athens,Public,604,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,,84,7,68,43,56,151,203,164,274,104,41,14,17,8,3,0,0,3,0,0,0,604,604,,
Areopagus,Sponsor,Athens,Public,620,Statue Base(?) for an Unknown Individual,Base,Other/Uncertain,,250.5,99,0.0560,84,7,68,43,56,151,203,164,274,104,27,22,14,10,3,0,0,3,0,0,0,620,620,,
Areopagus,,Athens,Public,621,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,84,7,68,43,56,151,203,164,274,104,377,335,81,66,2,8,6,2,1,6,0,621,621,,
Areopagus,Sponsor,Athens,Public,623,"Statue Base for a Sekoundos, Eumolpid",Base,Dedication,,200.0,10,,84,7,68,43,56,151,203,164,274,104,79,62,22,15,2,1,2,1,1,1,1,623,623,,
Areopagus,Sponsor,Athens,Public,626,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,84,7,68,43,56,151,203,164,274,104,105,93,23,20,4,4,1,3,0,1,0,626,626,,
Areopagus,Officer,Athens,Public,626,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,84,7,68,43,56,151,203,164,274,104,105,93,23,20,4,4,1,3,0,1,0,626,626,,
Areopagus,Sponsor,Athens,Public,630,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,84,7,68,43,56,151,203,164,274,104,206,124,51,30,3,4,4,3,1,1,3,630,630,,
Areopagus,Sponsor,Athens,Public,632,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,84,7,68,43,56,151,203,164,274,104,173,162,45,41,3,1,5,3,1,5,0,632,632,,
Areopagus,Sponsor,Athens,Public,633,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,84,7,68,43,56,151,203,164,274,104,191,152,51,35,1,6,3,1,1,2,1,633,633,,
Areopagus,Sponsor,Athens,Public,634,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,84,7,68,43,56,151,203,164,274,104,180,175,41,38,1,1,1,1,1,1,0,634,634,,
Areopagus,Sponsor,Athens,Public,635,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,84,7,68,43,56,151,203,164,274,104,154,134,40,33,1,2,4,3,1,4,0,635,635,,
Areopagus,Sponsor,Athens,Public,638,Decree of the Athenians Concerning the Transport of the Sacred Objects,Base,Decree,South Wall,220.0,10,0.0180,84,7,68,43,56,151,203,164,274,104,1749,1355,465,326,5,6,3,3,0,3,0,638,638,,
Areopagus,Sponsor,Athens,Public,645,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,84,7,68,43,56,151,203,164,274,104,119,115,21,19,3,6,1,3,1,1,0,645,645,,
Areopagus,Sponsor,Athens,Public,654,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,84,7,68,43,56,151,203,164,274,104,79,77,16,15,3,1,3,3,1,3,0,654,654,,
Areopagus,,Athens,Public,655,Letter of the Emperor Gallienus to the Athenians Concerning the Mysteries,Base,Epistle,,265.0,0,0.0180,84,7,68,43,56,151,203,164,274,104,638,276,234,85,3,5,2,0,0,0,2,655,655,,
Areopagus,Sponsor,Athens,Public,662,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,250.0,100,0.0250,84,7,68,43,56,151,203,164,274,104,92,30,31,17,1,0,1,1,0,1,0,662,662,,
Areopagus,Sponsor,Athens,Public,667,Base Dedicated by an Unknown party,Base,Dedication,,150.5,299,,84,7,68,43,56,151,203,164,274,104,71,27,26,11,1,0,0,1,0,0,0,667,667,,
Areopagus,Sponsor,Athens,Public,347,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,84,7,68,43,56,151,203,164,274,104,85,68,29,17,2,0,1,2,1,0,1,682,682,,
Areopagus,Officer,Athens,Public,433,"Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios",Base,Dedication,,112.5,25,0.0250,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,12,0,0,0,0,0,689,689,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,1,3,1,0,1,691,691,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,2,3,1,0,2,692,692,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,2,3,1,0,2,693,693,,
Areopagus,Sponsor,Athens,Public,473,"Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,2,3,1,0,2,694,694,,
Areopagus,Sponsor,Athens,Public,486,"Statue Base for the Savior Gods/Godesses of Brotherly Emperors, Dedicated by the Polis during the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,2,3,3,2,1,2,695,695,,
Areopagus,Sponsor,Athens,Public,486,"Statue Base for the Savior Gods/Godesses of the Brotherly Emperors, Dedicated By the Polis During the Epimelitea of Herodes",Base,Dedication,,171.0,10,0.0920,84,7,68,43,56,151,203,164,274,104,0,0,1,1,3,0,1,3,1,0,1,696,696,,
Boule,Sponsor,Athens,Public,267,Statue Base for an Unknown Kanephoros,Base,Dedication,Outer Courtyard,-87.5,25,0.0080,66,1,1,2,2,169,181,167,1,3,266,121,77,33,2,5,2,2,1,2,0,267,267,,
Boule,,Athens,Public,271,Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon,Base,Decree,,-73.0,6,0.0070,66,1,1,2,2,169,181,167,1,3,2289,2083,519,438,4,5,1,1,1,1,0,271,271,,
Boule,Sponsor,Athens,Public,274,Dedication in Honor of a Tamias,Base,Dedication,,-61.5,1,0.0095,66,1,1,2,2,169,181,167,1,3,48,26,21,12,1,1,1,1,1,1,0,274,274,,
Boule,Sponsor,Athens,Public,275,"Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai",Base,Dedication,North of the Telesterion,-60.0,10,0.0200,66,1,1,2,2,169,181,167,1,3,243,233,52,46,3,2,2,2,1,2,0,275,275,,
Boule,Sponsor,Athens,Public,282,Statue Base for Unknown Hearth-Initiate,Stele,Dedication,Between the Propylaea,-50.0,20,0.0090,66,1,1,2,2,169,181,167,1,3,147,96,44,24,2,3,3,2,1,3,0,282,282,,
Boule,Sponsor,Athens,Public,283,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,Between the Propylaea,-50.0,20,,66,1,1,2,2,169,181,167,1,3,80,47,25,12,1,2,1,1,1,1,0,283,283,,
Boule,Sponsor,Athens,Public,295,"Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General",Base,Dedication,South Wall,-32.5,5,0.0345,66,1,1,2,2,169,181,167,1,3,198,149,50,36,3,1,1,3,1,1,0,295,295,,
Boule,Sponsor,Athens,Public,300,Honorary Decree for Themistokles Theophrastou Hagnousios,Base,Decree,,-25.0,10,0.0095,66,1,1,2,2,169,181,167,1,3,3533,3223,781,638,3,18,47,2,1,47,0,300,300,,
Boule,Sponsor,Athens,Public,305,Statue Base for Polyainos Nikandrou Sounieus,Base,Dedication,,-13.0,24,0.0270,66,1,1,2,2,169,181,167,1,3,73,52,25,13,2,0,1,2,1,1,0,305,305,,
Boule,Sponsor,Athens,Public,323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,66,1,1,2,2,169,181,167,1,3,126,125,30,30,3,1,1,3,1,1,0,323,323,,
