"ID","Label","Category","Origin","Gender","Type","Class","Athenian Citizenship","Roman Citizenship","Family","Extended Family","Deme","Uncertain Person"
"1002","Demos","Athenian","Athens","","Public","Institution","","","","","",""
"1003","Tribe of Antiochis","Athenian","Athens","","Public","Institution","","","","","",""
"1015","Eumolpidai","Eleusinian","Eleusis","","Genos","Institution","","","","","",""
"1004","Dionysiac Technitai","Athenian","Athens","","Private","Institution","","","","","",""
"1013","Sacred Gerousia","Panhellenic","Other","","Public","Institution","","","","","",""
"1012","Panhellenes","Panhellenic","Other","","Public","Institution","","","","","",""
"1016","Kerykes","Eleusinian","Eleusis","","Genos","Institution","","","","","",""
"1006","Philoi","Other","Other","","Private","Institution","","","","","",""
"1020","Praxiergidai","Athenian","Athens","","Genos","Institution","","","","","",""
"1000","Areopagus","Athenian","Athens","","Public","Institution","","","","","",""
"1010","Samian Demos","Greek","Samos","","Public","Institution","","","","","",""
"1001","Boule","Athenian","Athens","","Public","Institution","","","","","",""
"1005","Sophiai","Other","Other","","Private","Institution","","","","","",""
"1009","Boule of Korinth","Greek","Corinth","","Public","Institution","","","","","",""
"1024","Samian Boule","Greek","Samos","","Public","Institution","","","","","",""
"1017","Lykomidai","Athenian","Athens","","Genos","Institution","","","","","",""
"2219","[?] Woman","Athenian","Athens","Female","","Person","f","f","","","","t"
"2258","Nummia Bassa","Athenian","Athens","Female","","Person","t","t","","","","f"
"2010","Epiphaneia Hermolykou","Athenian","Athens","Female","","Person","t","f","","","Marathon","f"
"2454","P. Ail. Herennia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2327","Iul. Theodotos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2130","Theophilos Eudoxou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2256","Annius Thrasyllos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2020","Diphila Diokleous","Athenian","Athens","Female","","Person","t","f","Medeiotes","","Melite","f"
"2009","Dionysios Dionysiou","Athenian","Athens","Male","","Person","t","f","","","Sphettos","f"
"2019","Medeios Medeiou","Athenian","Athens","Male","","Person","t","f","Medeiotes","","Peiraieus","f"
"2108","[.]kleides","Athenian","Athens","Male","","Person","t","f","","","","t"
"2042","Khrysothemis Phaidrou","Athenian","Athens","Female","","Person","t","f","Lysiadidai","","Berenikidai","f"
"2151","Ti. Kl. Eukles Sostratou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2155","G. Iul. Polkhos Sounieus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2254","Iun. Patron","Athenian","Athens","Male","","Person","t","t","","","","f"
"2453","P. Ail Apollonios","Athenian","Athens","Male","","Person","t","t","","","","f"
"2008","[?] Mother","Athenian","Athens","Female","","Person","t","f","","","","t"
"2164","[?] Imperial Priest","Athenian","Athens","Male","","Person","t","f","","","","t"
"2301","Ail. Kh[?]","Athenian","Athens","Uncertain","","Person","t","t","","","","f"
"2141","Kleophatra Iophontos","Athenian","Athens","Female","","Person","t","f","","","","f"
"2275","Cornelia [?]","Athenian","Athens","Female","","Person","f","t","","","","t"
"2007","[?] Father","Athenian","Athens","Male","","Person","t","f","","","","t"
"2255","Annia Aristokleia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2160","Kl. [?] Asklepiodorou","Athenian","Athens","Male","","Person","t","t","","","","t"
"2057","Ladameia Lysandrou","Athenian","Athens","Female","","Person","t","f","","","Peiraieus","f"
"2436","Onesime Papiou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2226","Ti. Kl. Herodes Attikos Kl. Attikou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2178","Kl. [?] Mother of Seilianos","Athenian","Athens","Male","","Person","t","t","","","","t"
"2202","[.]okleia wife of Metrodoros","Athenian","Athens","Female","","Person","t","f","","","","f"
"2235","Vipsania Lailiane","Athenian","Athens","Female","","Person","t","t","","","","f"
"2005","Eurydike","Athenian","Athens","Female","","Person","t","f","","","Halai Aixonides","f"
"2003","Philanthes","Athenian","Athens","Male","","Person","t","f","","","Halai Aixonides","f"
"2109","Phainarete Att[.]","Athenian","Athens","Female","","Person","t","f","","","","t"
"2024","Ktesikleia Apollonioiu","Athenian","Athens","Female","","Person","t","f","","","","f"
"2229","Cocceius Censorinus","Roman","Rome","Male","","Person","f","t","","","","f"
"2331","Iul. Kephisodora","Athenian","Athens","Female","","Person","t","t","","","","f"
"2485","Aur. Magna II Magnou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2402","P. Pom. Hegios II","Athenian","Athens","Male","","Person","t","t","","","","f"
"2471","Licinius Kallistomakhos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2056","Apolexis I","Athenian","Athens","Male","","Person","t","f","","","Oion","f"
"2207","Kallikleia","Athenian","Athens","Female","","Person","t","f","","","","f"
"2283","Ana[.]n Krateros","Athenian","Athens","Male","","Person","t","t","","","","f"
"2316","Pompeia Polla","Athenian","Athens","Female","","Person","t","t","","","","f"
"2332","M. Iul. Praxis","Athenian","Athens","Male","","Person","t","t","","","","f"
"2470","Praxagora [?]","Athenian","Athens","Female","","Person","t","f","","","","f"
"2238","Polemon Heroxenou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2203","Metrodoros II Metrodorou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2204","Antio Metrodorou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2347","Ail. Philiste Praxagorou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2174","T. Kl. Lysiades Patronos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2257","L. Nummius Andreas Menidos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2004","Diopeithes","Athenian","Athens","Male","","Person","t","f","","","Halai Aixonides","f"
"2223","Fl. Laodameia Kleitou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2484","Aur. Epaphrodeitos Asklepiadou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2298","Fl. Xenion","Athenian","Athens","Male","","Person","t","t","","","","f"
"2168","Fl. Sophia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2311","Agothokles Marathonios","Athenian","Athens","Male","","Person","t","f","","","","f"
"2404","T. Fl. Leosthenes II","Athenian","Athens","Male","","Person","t","t","","","","f"
"2291","Ail. Zenonos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2165","Ti. Kl. Hipparkhos Herodou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2002","Theophilos","Athenian","Athens","Male","","Person","t","f","","","Halai Aixonides","f"
"2177","Kl. [?] Father of Seilianos","Athenian","Athens","Male","","Person","t","t","","","","t"
"2139","Eimertos Polykharmos","Athenian","Athens","Male","","Person","t","f","","","","f"
"2172","P. Fulvius Metrodoros","Athenian","Athens","Male","","Person","t","t","","","","f"
"2222","Pose Poseous","Athenian","Athens","Female","","Person","t","f","","","","f"
"2050","Kallikratides Syndromou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2182","Thrasyllos Ammoniou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2469","Xenagoras I","Athenian","Athens","Male","","Person","t","f","","","","f"
"2295","T. Kl. Appius Bradoua","Athenian","Athens","Male","","Person","t","t","","","","f"
"2176","G. Kl. Seilianos Polykritos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2123","Hierophantis Mos[kh.]","Athenian","Athens","Female","","Person","t","f","","","","t"
"2185","Athenais","Athenian","Athens","Female","","Person","t","f","","","","f"
"2198","[?] Kanephoros","Athenian","Athens","Male","","Person","t","f","","","","f"
"2326","Iul. Apollodotos Meliteus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2206","Kallisto Kallimakhou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2019","Medeios Medeiou","Athenian","Athens","Male","","Person","t","f","Medeiotes","","Peiraieus","f"
"2345","Praxagora Demostratou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2429","Praxagoras? Of Melite","Athenian","Athens","Male","","Person","t","f","","","","f"
"2431","Poll[io]n[a?], Hearth-Initiate","Athenian","Athens","Female","","Person","t","t","","","","f"
"2477","Kl. Menandra II","Athenian","Athens","Female","","Person","t","t","","","","f"
"2043","Phaidros Lysiadou","Athenian","Athens","Male","","Person","t","f","","","Berenikidai","f"
"2114","Dionysios Dionysiou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2310","M. Aur. Miltiades","Athenian","Athens","Male","","Person","t","t","","","","f"
"2218","[?] Hearth-Initiate","Athenian","Athens","Uncertain","","Person","t","f","","","","t"
"2124","Antamenes Leontikhou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2239","G. Memmius Sabeinos Peisandros","Athenian","Athens","Male","","Person","t","t","","","","f"
"2390","Kl. Menandra","Athenian","Athens","Female","","Person","t","t","","","","f"
"2121","Atheno Niketou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2267","Menandra of Ephesus","Athenian","Athens","Female","","Person","t","f","","","","f"
"2159","Kl. Asklepiodoros","Athenian","Athens","Male","","Person","t","t","","","","f"
"2276","[?] Relative of Ti. Cl. Lysiades","Athenian","Athens","Male","","Person","t","t","","","","t"
"2393","Ail. Epilampsis Gelotos","Athenian","Athens","Female","","Person","t","t","","","","f"
"2475","Fl. Plautianos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2196","Tryphon Phylasios","Athenian","Athens","Male","","Person","t","f","","","","f"
"2302","T. Kl. Hierophant Alkibiadou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2260","Nummia Kleo","Athenian","Athens","Female","","Person","t","t","","","","f"
"2265","Domitia Lucilla","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2149","G. Caecilius Cassius","Roman","Rome","Male","","Person","f","t","","","","f"
"2006","[?] Heath-Initiate","Athenian","Athens","Uncertain","","Person","t","f","","","","t"
"2286","Sergius Salvidius Scipio Orfitus","Roman","Rome","Male","","Person","f","t","","","","f"
"2517","Aerarius Sospatros, Daduch","Athenian","Athens","Male","","Person","t","t","","","","f"
"2312","T. Fl. Euthykomas","Athenian","Athens","Male","","Person","t","t","","","","f"
"2448","[?] Emperor","Imperial Family Member","Rome","Male","","Person","f","f","","","","t"
"2049","M. Titius","Roman","Rome","Male","","Person","f","t","","","","f"
"2236","T. Vipsanius [.] Flavianos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2426","[?] Claudius","Athenian","Athens","Male","","Person","t","t","","","","t"
"2534","[?] Proconsul","Uncertain","Rome","Male","","Person","f","t","","","","t"
"2025","Sophokles Xenokleous","Athenian","Athens","Male","","Person","t","f","","","Akharnai","f"
"2166","Kl. Alkia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2001","Ameinokleia Philanthou","Athenian","Athens","Female","","Person","t","f","","","Phyle","f"
"2129","Emperor Tiberius","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2325","Xenion","Athenian","Athens","Male","","Person","t","f","","","","f"
"2033","Dionysios Athenagorou","Athenian","Athens","Male","","Person","t","f","Athenagoridai","","Melite","f"
"2434","T. Fl. Ateimetos Peiraieus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2386","Emperor Septimius Severus","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2493","Fabius [.]","Uncertain","Uncertain","Uncertain","","Person","f","t","","","","t"
"2131","Menandros Asklepiodotou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2181","[?] Wife of Ammonios Kholleides","Athenian","Athens","Female","","Person","t","f","","","","t"
"2418","Demetrios Apolloniou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2498","Eunnike Kallaiskhros","Athenian","Athens","Female","","Person","t","f","","","","f"
"2476","Hierophant Apollinarios","Athenian","Athens","Male","","Person","t","f","","","","f"
"2052","Augustus","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2205","Curtia Straontike","Athenian","Athens","Female","","Person","t","t","","","","f"
"2103","Sophokles Theophrastou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2167","T. Fl. Sophokles T. Fl. Kononos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2388","Kl. Themistoklea","Athenian","Athens","Female","","Person","t","t","","","","f"
"2432","Son or Daughter of a [N]um[ius]","Athenian","Athens","Uncertain","","Person","t","t","","","","f"
"2273","Phirmus Gargettios","Athenian","Athens","Male","","Person","t","t","","","","f"
"2449","P. Ail. [.]","Athenian","Athens","Male","","Person","t","t","","","","f"
"2233","Athenaios Epaphrodeitos Athenaiou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2241","Emperor Hadrian","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2187","Kl. Theophilos","Athenian","Athens","Female","","Person","t","t","","","","f"
"2503","Casianus Hierokeryx","Athenian","Athens","Male","","Person","t","t","","","","f"
"2091","Themistokles II Theophrastou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2318","T. Fl. Menandros Paianieus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2293","Regilla","Roman","Rome","Female","","Person","t","t","","","","f"
"2300","Emperor L. Verus","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2161","[?] Exegete of Eumolpidai","Athenian","Athens","Male","","Person","f","f","","","","t"
"2230","Agrius Saturninus","Roman","Rome","Male","","Person","f","t","","","","f"
"2428","[?] Exegete of Eumolpidai","Athenian","Athens","Male","","Person","t","f","","","","t"
"2051","Livia Drusilla","Roman","Rome","Female","","Person","f","t","","","","f"
"2472","Kl. Kallistomakhos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2447","Pompeia A[.]","Athenian","Athens","Female","","Person","t","t","","","","f"
"2145","Athenais Diokleous","Athenian","Athens","Female","","Person","t","f","","","","f"
"2037","[?] Hierophantis Amphiou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2038","L. Munatius Plancus","Roman","Rome","Male","","Person","f","t","","","","f"
"2536","[?] Exegete of Eumolpidai?","Athenian","Athens","Male","","Person","t","f","","","","t"
"2252","[?] Relative of L. Vipsanius Aiolion","Athenian","Athens","Uncertain","","Person","t","t","","","","t"
"2032","[?] Daduch from Hagnous","Athenian","Athens","Male","","Person","t","f","Themistokleidai","","Hagnous","f"
"2162","Iul. Nikanor","Other Greek","Syria","Male","","Person","f","t","","","","f"
"2422","[?] High Priest Ti. Kl. Lianou","Athenian","Athens","Male","","Person","t","t","","","","t"
"2143","[.]on, Consul","Roman","Rome","Male","","Person","f","t","","","","f"
"2342","Faustina","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2190","L. Pompeius [?]","Roman","Rome","Male","","Person","f","t","","","","f"
"2289","L. Calpurnius Piso","Roman","Rome","Male","","Person","f","t","","","","f"
"2266","Nummius Nigreinos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2225","[?] Priest","Athenian","Athens","Male","","Person","t","f","","","","t"
"2228","Viboullia Alkia","Athenian","Athens","Female","","Person","t","t","","","","f"
"2237","[?] Son of Heroxenos Marathonios","Athenian","Athens","Male","","Person","t","f","","","","t"
"2221","Hierophantis Perikleous","Athenian","Athens","Female","","Person","t","f","","","","f"
"2138","Polykharmos Eukleous","Athenian","Athens","Male","","Person","t","f","","","","f"
"2023","T. Pinarius","Roman","Rome","Male","","Person","f","t","","","","f"
"2488","Apollonios Apolloniou II","Athenian","Athens","Male","","Person","t","t","","","","f"
"2335","Isidote Eisaiou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2511","Nikagoras, Hierokeryx","Athenian","Athens","Male","","Person","t","f","","","","f"
"2050","Kallikratides Syndromou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2250","L. Vipsanius Aiolion","Athenian","Athens","Male","","Person","t","t","","","","f"
"2427","[?] Exegete","Athenian","Athens","Male","","Person","t","f","","","","t"
"2506","Iun. Themistokles Polykharmidos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2451","Lysiades","Athenian","Athens","Male","","Person","t","f","","","","f"
"2251","L. Vipsanius Lailianos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2014","Ariobarzanes II Ariobarzanou I","Other Greek","Cappadocia","Male","","Person","f","f","","","","f"
"2468","Xenagoras II  Xenagorou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2321","M. Iul Apellas","Athenian","Athens","Male","","Person","t","t","","","","f"
"2018","Athenais III Ariobarzanou II","Other Greek","Cappadocia","Female","","Person","f","f","","","","f"
"2142","P. Papinius Statius","Roman","Rome","Male","","Person","f","t","","","","f"
"2533","Emperor Maximianus","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2458","[?] Grandson of Ti. Kl. Sospis","Athenian","Athens","Male","","Person","t","t","","","","t"
"2262","Annia Faustina","Roman","Rome","Female","","Person","f","t","","","","f"
"2271","D. Iun. Menneas","Athenian","Athens","Male","","Person","t","t","","","","f"
"2292","Elpinike Atria","Athenian","Athens","Female","","Person","t","t","","","","f"
"2328","Ail. Kephisodora","Athenian","Athens","Female","","Person","t","t","","","","f"
"2405","Daughter of T. Fl. Leosthenes II","Athenian","Athens","Female","","Person","t","t","","","","f"
"2042","Khrysothemis Phaidrou","Athenian","Athens","Female","","Person","t","f","Lysiadidai","","Berenikidai","f"
"2287","Calpurnia L. Lepida","Roman","Rome","Female","","Person","f","t","","","","f"
"2154","Ti. Kl. Nouios Philinou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2240","Thrasyllos Kholleides","Athenian","Athens","Male","","Person","t","f","","","","f"
"2486","Aur. Paramona Paramonou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2134","Iulia Augusta","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2055","Lamidion Apolexidos","Athenian","Athens","Male","","Person","t","f","","","Oion","f"
"2280","Klementiane","Athenian","Athens","Female","","Person","t","t","","","","f"
"2186","[.]ppos Herokleitou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2452","P. Ail. Herennia P. Ail. Apolloniou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2030","[?] Heath-Initiate","Athenian","Athens","Uncertain","","Person","t","f","","","","f"
"2152","Iulia Agrippina","Roman","Rome","Female","","Person","f","t","","","","f"
"2502","M. Ulpius Eubiotos Leuros Gargettios","Athenian","Athens","Male","","Person","t","t","","","","f"
"2282","[?] Emperor","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2054","Theophrastos Themistokleous","Athenian","Athens","Male","","Person","t","f","","","Hagnous","f"
"2464","M Gavius Gallicanus","Roman","Rome","Male","","Person","f","t","","","","f"
"2156","Ti. Kl. Demostratos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2417","Iun. Agathopodos","Athenian","Athens","Female","","Person","t","t","","","","f"
"2163","[?] Emperor","Imperial Family Member","Rome","Male","","Person","f","t","","","","t"
"2189","T. Fl [?]","Athenian","Athens","Uncertain","","Person","f","f","","","","t"
"2231","Ael. Lysistrate","Athenian","Athens","Female","","Person","t","t","","","","f"
"2226","Ti. Kl. Herodes Attikos Kl. Attikou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2516","T. Fl., Altar-Priest","Athenian","Athens","Male","","Person","t","t","","","","f"
"2443","[?] Daughter of Pythokhrestos Exegete","Athenian","Athens","Female","","Person","t","f","","","","t"
"2525","Eunike Kallaiskhrou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2430","[Epaphro]dit[as]?","Athenian","Athens","Male","","Person","t","f","","","","f"
"2445","[?] Daughter of Kyklobols Hagnousios","Athenian","Athens","Female","","Person","t","f","","","","f"
"2012","Philemon","Athenian","Athens","Male","","Person","t","f","","","","f"
"2110","Diotima","Athenian","Athens","Female","","Person","t","f","","","","f"
"2334","[Iunia] Melitine","Athenian","Athens","Female","","Person","t","t","","","","f"
"2461","Sekoundos the Eumolpid","Roman","Rome","Male","","Person","t","t","","","","f"
"2235","Vipsania Lailiane","Athenian","Athens","Female","","Person","t","t","","","","f"
"2220","[?] Husband of Woman","Athenian","Athens","Male","","Person","t","f","","","","t"
"2261","Ti. Kl. Attikos Marathonios","Athenian","Athens","Male","","Person","t","t","","","","f"
"2504","T. Fl. Gklaukos Glaukou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2274","D. Iun. Peiraieus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2201","[?] Daughter of [.]dous","Athenian","Athens","Female","","Person","t","f","","","","f"
"2492","Honoratiane Polykharmis Polykharmou","Athenian","Athens","Female","","Person","t","t","","","","f"
"2015","Athenais II Ariobazanou I","Other Greek","Cappadocia","Female","","Person","f","f","","","","f"
"2127","[O?]knia Polykharmou","Athenian","Athens","Female","","Person","f","f","","","","t"
"2467","P. Perennios Ptolemaios P. Herenniou","Athenian","Athens","Male","","Person","t","t","","","","f"
"2122","Pammenes Pammenous","Athenian","Athens","Male","","Person","t","f","","","","f"
"2128","Polykharmos Polykritos","Athenian","Athens","Male","","Person","t","f","","","","f"
"2027","Kleo Dionysiou","Athenian","Athens","Female","","Person","t","f","","","Ikarion","f"
"2104","[?] Hearth-Initiate Themistokleous","Athenian","Athens","Male","","Person","t","f","","","","f"
"2463","M. Aur. Prosdektos Pistokrates","Athenian","Athens","Male","","Person","t","t","","","","f"
"2021","Timothea Medeiou","Athenian","Athens","Female","","Person","t","f","Medeiotes","","Peiraieus","f"
"2522","P. Ail. Herennius Dexippos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2183","Eraton Eratonos","Athenian","Athens","Male","","Person","t","f","","","","f"
"2299","Fl. Zenophilos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2344","Faustina II","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2439","Sabeiniane Hamillo","Athenian","Athens","Female","","Person","t","t","","","","f"
"2509","[?] Hierophant","Athenian","Athens","Male","","Person","t","f","","","","t"
"2284","[?] Claudius of Melite","Athenian","Athens","Male","","Person","t","t","","","","t"
"2339","L. Memmius Altar-Priest","Athenian","Athens","Male","","Person","t","t","","","","f"
"2505","Emperor Maximinus","Roman","Rome","Male","","Person","f","t","","","","f"
"2482","Aur. Magna","Athenian","Athens","Female","","Person","t","t","","","","f"
"2253","Iunia [?] Iun. Patronos","Athenian","Athens","Female","","Person","t","t","","","","t"
"2481","Ptolemais Serenou Gaza","Athenian","Athens","Male","","Person","t","f","","","","f"
"2191","L. Pompeius Pompeiou","Roman","Rome","Male","","Person","f","t","","","","f"
"2341","Lucilla","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2290","P. Ail. Timosthenes","Athenian","Athens","Male","","Person","t","t","","","","f"
"2179","Zophyros Zopyrou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2391","Nikostrate Meneou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2264","Emperor Marcus Aurelius","Imperial Family Member","Rome","Male","","Person","f","t","","","","f"
"2288","Sergius Calpurnius Scipio Orfitus","Roman","Rome","Male","","Person","f","t","","","","f"
"2144","Diokles Themistokles Hagnousios","Athenian","Athens","Male","","Person","t","f","","","","f"
"2111","Diodotos Kalliphontos","Athenian","Athens","Male","","Person","t","f","","","","f"
"2045","Lysiades Phaidrou","Athenian","Athens","Female","","Person","t","f","","","Berenikidai","f"
"2140","T. Statilius Lamprias","Roman","Rome","Male","","Person","f","t","","","","f"
"2173","Kl. Philoxena Patronos","Athenian","Athens","Female","","Person","t","t","","","","f"
"2343","Sabina","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2425","Lolliane Glaukou","Athenian","Athens","Female","","Person","t","f","","","","f"
"2029","[?] Heath-Initiate","Athenian","Athens","Uncertain","","Person","t","f","","","","f"
"2044","Pomponianus Atticus","Roman","Rome","Male","","Person","f","t","","","","f"
"2146","M. Porcius Cato","Roman","Rome","Male","","Person","f","t","","","","f"
"2150","Statilia [.]","Roman","Rome","Female","","Person","f","t","","","","t"
"2000","UNC Kanephoros","Athenian","Athens","Male","","Person","t","f","","","","t"
"2212","T. [?]","Athenian","Athens","Uncertain","","Person","f","t","","","","t"
"2147","Seilon Apolloniou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2046","Sempronia","Roman","Rome","Female","","Person","f","t","","","","f"
"2171","P. Fulvius Maximos Sounieus","Athenian","Athens","Male","","Person","t","t","","","","f"
"2169","T. Fl. Konon Kononos","Athenian","Athens","Male","","Person","t","t","","","","f"
"2106","Polyainos Nikandrou","Athenian","Athens","Male","","Person","t","f","","","","f"
"2478","Roupheina","Roman","Rome","Female","","Person","f","t","","","","f"
"2022","[?] Tamias","Athenian","Athens","Male","","Person","t","f","","","","f"
"2013","Eusebeia Ariobarzanou","Other Greek","Cappadocia","Female","","Person","f","f","","","","f"
"2199","Kl. [?]","Athenian","Athens","Uncertain","","Person","t","t","","","","t"
"2011","Epiphaneia II Athenagorou","Athenian","Athens","Female","","Person","t","f","Athenagoridai","","Melite","f"
"2297","[?] Son of P. Ael. Praxagoras","Athenian","Athens","Male","","Person","t","t","","","","t"
"2387","Iul. Domna","Imperial Family Member","Rome","Female","","Person","f","t","","","","f"
"2277","Ail. Praxagoras","Athenian","Athens","Male","","Person","t","t","","","","f"
