ID,Raw Text,Text,Lemmata,Character Count,Word Count
267,,,,186,34
268,,,,115,19
269,,,,107,19
270,,,,159,23
271,,,,2249,421
684,,,,110,14
685,,,,109,14
686,,,,80,9
687,,,,80,9
273,,,,115,18
274,,,,30,7
275,,,,233,44
276,,,,39,8
277,,,,109,15
278,,,,112,17
279,,,,51,7
280,,,,49,8
281,,,,69,10
282,,,,109,21
283,,,,47,9
284,,,,9,2
285,,,,107,22
286,,,,73,13
287,,,,261,53
288,,,,73,13
289,,,,74,12
290,,,,0,1
675,,,,93,13
676,,,,154,24
677,,,,75,11
678,,,,89,14
292,,,,72,11
293,,,,36,7
294,,,,43,8
295,,,,194,38
703,,,,49,7
704,,,,63,12
297,,,,109,18
298,,,,138,24
299,,,,120,21
300,,,,3450,573
679,,,,138,24
680,,,,162,28
681,,,,64,10
302,,,,122,18
303,,,,17,2
304,,,,33,4
305,,,,72,13
306,,,,28,3
307,,,,87,16
308,,,,35,5
309,,,,16,2
310,,,,40,11
311,,,,77,24
312,,,,53,11
313,,,,12,3
314,,,,21,5
315,,,,37,7
316,,,,23,5
317,,,,75,16
318,,,,26,6
319,,,,36,7
320,,,,7,1
321,,,,7,2
322,,,,8,2
323,,,,125,28
324,,,,156,35
325,,,,56,9
326,,,,19,4
327,,,,57,12
328,,,,53,8
329,,,,55,9
330,,,,45,7
331,,,,125,21
332,,,,8,1
333,,,,97,15
334,,,,188,35
335,,,,192,36
336,,,,111,17
337,,,,38,6
338,,,,21,3
339,,,,9,1
340,,,,50,14
341,,,,171,30
342,,,,63,11
343,,,,69,15
344,,,,174,25
345,,,,98,19
346,,,,102,14
682,,,,81,17
683,,,,50,11
348,,,,122,23
349,,,,158,27
350,,,,29,4
351,,,,143,29
352,,,,88,19
353,,,,114,26
354,,,,58,9
355,,,,62,11
356,,,,103,18
357,,,,169,25
358,,,,263,41
359,,,,51,8
360,,,,1175,245
361,,,,92,18
362,,,,101,22
363,,,,33,5
364,,,,170,28
365,,,,108,20
366,,,,116,20
367,,,,118,20
368,,,,36,8
369,,,,109,16
370,,,,108,18
371,,,,238,35
372,,,,90,12
373,,,,147,24
374,,,,57,9
375,,,,61,9
376,,,,26,4
377,,,,160,29
378,,,,67,16
379,,,,114,24
380,,,,60,9
381,,,,55,9
382,,,,36,5
383,,,,55,16
384,,,,17,3
385,,,,23,3
386,,,,25,3
387,,,,35,5
388,,,,19,4
389,,,,163,32
390,,,,8,1
391,,,,51,10
392,,,,27,6
393,,,,23,6
394,,,,33,5
395,,,,98,16
396,,,,45,8
397,,,,94,19
398,,,,47,7
399,,,,196,35
400,,,,26,4
401,,,,29,5
402,,,,54,15
403,,,,29,5
404,,,,42,11
405,,,,35,8
406,,,,33,8
407,,,,11,5
408,,,,14,7
409,,,,12,4
410,,,,38,11
411,,,,10,3
412,,,,42,8
413,,,,6,1
414,,,,45,8
415,,,,11,2
416,,,,43,8
417,,,,5,2
418,,,,8,2
419,,,,17,2
420,,,,7,1
421,,,,20,7
422,,,,13,2
423,,,,40,6
424,,,,7,1
425,,,,55,14
426,,,,83,22
427,,,,31,9
428,,,,24,7
429,,,,44,10
430,,,,9,2
431,,,,33,6
432,,,,67,15
688,,,,176,29
689,,,,422,57
434,,,,64,11
435,,,,158,32
436,,,,75,13
437,,,,50,8
438,,,,149,24
439,,,,144,28
440,,,,80,14
441,,,,197,39
442,,,,182,27
443,,,,107,17
444,,,,33,5
445,,,,114,18
446,,,,43,6
447,,,,6,1
448,,,,114,21
449,,,,103,19
450,,,,75,17
451,,,,8,1
452,,,,3,1
453,,,,23,3
454,,,,407,64
455,,,,350,61
456,,,,42,6
457,,,,55,13
458,,,,192,30
459,,,,140,23
460,,,,33,4
701,,,,107,17
702,,,,51,7
462,,,,26,3
463,,,,658,102
464,,,,155,27
465,,,,63,12
466,,,,64,11
467,,,,48,7
468,,,,126,20
469,,,,18,3
470,,,,131,22
471,,,,54,9
472,,,,66,10
691,,,,130,27
692,,,,80,10
693,,,,61,8
694,,,,52,7
474,,,,89,13
475,,,,86,13
476,,,,129,20
477,,,,135,23
478,,,,192,26
479,,,,211,28
480,,,,61,11
481,,,,78,13
482,,,,139,25
483,,,,1186,188
484,,,,147,37
485,,,,72,14
695,,,,61,8
696,,,,61,8
487,,,,239,37
488,,,,132,23
697,,,,1654,298
698,,,,121,28
490,,,,168,28
491,,,,86,15
492,,,,251,43
493,,,,365,54
494,,,,121,21
495,,,,125,17
496,,,,51,6
497,,,,28,3
498,,,,61,8
499,,,,18,4
500,,,,10,3
501,,,,21,3
502,,,,655,115
503,,,,494,84
504,,,,72,12
505,,,,13,2
506,,,,28,4
507,,,,12,2
508,,,,12,2
509,,,,27,4
510,,,,29,4
511,,,,205,40
512,,,,24,8
513,,,,502,96
514,,,,875,120
515,,,,237,41
516,,,,268,50
517,,,,54,10
518,,,,104,15
519,,,,116,16
520,,,,115,16
521,,,,111,16
522,,,,167,29
523,,,,864,131
524,,,,106,18
525,,,,38,7
526,,,,66,10
527,,,,49,7
528,,,,58,11
529,,,,62,12
530,,,,34,5
531,,,,170,30
532,,,,63,11
533,,,,72,9
534,,,,40,8
535,,,,94,18
536,,,,81,15
537,,,,131,30
538,,,,17,3
539,,,,71,17
540,,,,31,6
541,,,,61,9
542,,,,56,10
543,,,,63,12
544,,,,64,12
545,,,,48,11
546,,,,45,7
547,,,,42,10
548,,,,43,6
549,,,,39,8
550,,,,18,2
551,,,,72,14
552,,,,38,10
553,,,,32,7
554,,,,2,1
555,,,,7,1
556,,,,28,6
557,,,,12,3
558,,,,58,16
559,,,,15,3
560,,,,21,4
561,,,,15,3
562,,,,10,2
563,,,,6,1
564,,,,9,3
565,,,,12,4
566,,,,24,5
567,,,,18,4
568,,,,15,4
569,,,,15,3
570,,,,10,3
571,,,,42,14
572,,,,28,8
573,,,,50,15
574,,,,33,4
575,,,,21,6
576,,,,19,5
577,,,,28,7
578,,,,10,4
579,,,,28,9
580,,,,12,2
581,,,,22,3
582,,,,11,5
583,,,,10,5
584,,,,19,8
585,,,,93,19
586,,,,84,18
587,,,,187,32
588,,,,164,31
589,,,,25,4
590,,,,78,13
591,,,,44,6
592,,,,42,13
593,,,,34,5
594,,,,20,3
595,,,,22,6
596,,,,50,7
597,,,,10,1
598,,,,48,15
599,,,,24,5
600,,,,37,8
601,,,,112,25
602,,,,13,3
603,,,,7,1
604,,,,40,12
605,,,,16,4
606,,,,11,3
607,,,,12,4
608,,,,11,2
609,,,,11,2
610,,,,13,3
611,,,,9,2
612,,,,6,2
613,,,,9,3
614,,,,11,5
615,,,,11,3
616,,,,6,3
617,,,,10,3
618,,,,49,18
619,,,,113,25
620,,,,25,8
621,,,,348,61
622,,,,286,43
623,,,,77,14
624,,,,233,37
625,,,,90,14
626,,,,103,18
627,,,,43,6
628,,,,64,11
629,,,,212,39
630,,,,204,31
631,,,,33,3
632,,,,169,32
633,,,,183,29
634,,,,176,30
635,,,,149,26
636,,,,126,21
699,,,,267,53
700,,,,267,53
638,,,,1703,336
639,,,,155,21
640,,,,197,34
641,,,,99,17
642,,,,109,17
643,,,,118,28
644,,,,162,33
645,,,,117,16
646,,,,209,38
647,,,,63,12
648,,,,154,27
649,,,,318,57
650,,,,87,16
651,,,,39,5
652,,,,102,21
653,,,,126,21
654,,,,77,11
655,,,,546,105
656,,,,125,24
657,,,,46,9
658,,,,356,71
659,,,,471,85
660,,,,124,16
661,,,,197,37
662,,,,82,16
663,,,,30,5
664,,,,31,6
665,,,,49,9
666,,,,67,12
667,,,,68,14
668,,,,10,1
669,,,,29,5
670,,,,8,2
671,,,,23,3
672,,,,37,6
673,,,,42,8
674,,,,16,4